Synergy2,,,,,
Applicator,6x6,,,,
Energy,4,6,8,10,12
SSD/Zref,0.89,1.36,1.81,2.31,2.78
95,0.865,0.953,0.994,1.006,1.037
95.5,0.856,0.945,0.986,0.995,1.026
96,0.843,0.931,0.973,0.982,1.011
97,0.818,0.902,0.946,0.957,0.982
98,0.792,0.874,0.919,0.932,0.953
99,0.764,0.846,0.892,0.906,0.926
100,0.736,0.818,0.865,0.88,0.899
105,0.619,0.704,0.753,0.775,0.791
110,0.526,0.613,0.663,0.688,0.706
115,0.442,0.533,0.584,0.614,0.63
